"","quantity","location","lat","long","service_time","batch_index","driver_index","visit_seq","usage"
"113",1,506,-0.143590563156519,0.20275046057602,0,4,41,8,1
"114",1,506,-0.143590563156519,0.20275046057602,13.35,2,13,6,1
"115",1,796,-0.995540374590289,1.32544997156437,0,4,55,6,1
"116",2,94,1.18516853796884,-0.93203710007482,0,4,53,1,1
"117",1,94,1.18516853796884,-0.93203710007482,1.01666666666667,4,53,4,1
"118",2,309,-0.757221889717117,-0.238288162957917,15.5291666666667,15,137,5,0
"119",1,796,-0.995540374590289,1.32544997156437,3.6,2,24,9,1
"120",2,44,0.660281983432563,-1.08707947617236,0.0505409291666666,4,47,11,1
"121",1,681,-1.59383522598506,0.83824901345285,1.03333333333333,7,90,9,1
"122",1,681,-1.59383522598506,0.83824901345285,0.5,12,133,2,1
"123",1,125,1.48000796502443,-0.84242786236356,4.78333333333333,7,109,5,1
"124",1,442,-0.245603970998244,0.0116191246173487,12.6458333333333,15,120,1,0
"125",2,231,-0.287650037743501,-0.458238110066468,0,2,16,1,1
"126",1,24,0.678375577729016,-1.23012139717246,0,4,54,10,1
"127",4,754,-1.14907744618952,1.08885705752973,7.0375,1,3,7,1
"128",2,479,-0.357611935689176,0.105170117653144,6.7625,4,40,1,1
"129",1,685,-1.55437395842457,0.847621631668939,1.52083333333333,1,3,6,1
"130",1,681,-1.59383522598506,0.83824901345285,2.06666666666667,1,3,4,1
"131",1,681,-1.59383522598506,0.83824901345285,0,1,3,5,1
"132",1,723,0.0488908161662484,0.971305154295295,0,12,122,2,1
"133",1,512,-0.183051830717006,0.23279539560528,1.01666666666667,2,13,2,1
"134",2,733,-1.09548594308358,1.03174540260525,2.65416666666667,6,84,6,0
"135",3,681,-1.59383522598506,0.83824901345285,5.04166666666667,7,90,1,1
"136",1,681,-1.59383522598506,0.83824901345285,1.01666666666667,7,90,6,1
"137",1,348,-0.0781089837988003,-0.172855024570388,3.08333333333333,14,83,1,0
"138",1,791,-0.836661384675045,1.23198657309112,0.475,6,74,2,0
"139",2,563,-0.346066499328494,0.366464698388039,0.516666666666667,2,13,9,1
"140",2,458,-0.0264130000954346,0.0490220029191574,10.3791666666667,15,120,3,0
"141",1,754,-1.14907744618952,1.08885705752973,3.09583333333333,2,14,2,1
"142",1,693,-1.45477302982299,0.879068079701427,25.8791666666667,7,97,1,1
"143",1,117,1.43796189827856,-0.867830285566672,0,4,60,1,1
"144",2,685,-1.55437395842457,0.847621631668939,0,7,90,10,1
"145",1,685,-1.55437395842457,0.847621631668939,1.01666666666667,7,89,5,1
"146",1,90,1.40435950887164,-0.931336343573206,0,2,20,9,1
"147",1,618,-1.16303536178912,0.56153778967,2.75833333333333,6,84,7,0
"148",1,685,-1.55437395842457,0.847621631668939,1.03333333333333,7,89,6,1
"149",1,796,-0.995540374590289,1.32544997156437,13.6833333333333,7,117,1,1
"150",2,753,-1.40704040487001,1.08780592277669,0,6,84,8,0
"151",2,239,-0.293853555788175,-0.442821467019758,0,7,71,1,1
"152",2,681,-1.59383522598506,0.83824901345285,0.516666666666667,7,90,3,1
"153",2,398,-0.530104201312917,-0.0699314133185044,1.4875,10,80,1,0
"154",3,778,-0.754637090531735,1.16777975858297,0.516666666666667,2,26,4,1
"155",3,512,-0.183051830717006,0.23279539560528,6.1125,2,13,1,1
"156",1,94,1.18516853796884,-0.93203710007482,0.554166666666667,2,20,11,1
"157",2,685,-1.55437395842457,0.847621631668939,12.6833333333333,7,89,1,1
"158",1,796,-0.995540374590289,1.32544997156437,0.5,7,117,6,1
"159",2,437,0.493648595961784,0.00110777708567046,3.5875,2,10,1,1
"160",2,20,0.793657621387528,-1.2494797955437,1.75416666666667,21,150,1,0
"161",1,160,0.783490744592465,-0.734861739285527,0.516666666666667,7,118,3,1
"162",1,44,0.660281983432563,-1.08707947617236,0.0166666666666667,12,123,6,1
"163",2,689,-1.34759002361111,0.863038274715649,0,7,97,4,1
"164",1,778,-0.754637090531735,1.16777975858297,0.4375,2,26,3,1
"165",1,80,1.19309525546961,-0.97548400320725,1.01666666666667,4,53,10,1
"166",1,766,-0.752741571129162,1.13633331054924,0,2,26,2,1
"167",2,141,1.38867839381472,-0.799681715733988,15.6791666666667,21,149,2,0
"168",4,804,-1.00846437051598,1.35023923282717,0,7,117,2,1
"169",1,681,-1.59383522598506,0.83824901345285,1.50416666666667,4,63,7,1
"170",1,522,-0.336244262425143,0.262227168694228,6.20416666666667,7,72,1,1
"171",2,41,0.655284705007653,-1.10345965941082,18.3333333333333,6,79,4,0
"172",1,90,1.40435950887164,-0.931336343573206,0,2,20,10,1
"173",1,160,0.783490744592465,-0.734861739285527,0,7,118,4,1
